State/Union Territory,City/Town,SO2 Annual Average,NO2 Annual Average,PM10 Annual Average,PM2.5 Annual Average
Andaman & Nicobar (UT),Port Blair,NM,NM,22,-
Andhra Pradesh,Amaravati,14,11,71,34
Andhra Pradesh,Anantapur,10,20,58,24
Andhra Pradesh,Chittoor,5,11,57,33
Andhra Pradesh,Kadapa,4,22,53,34
Andhra Pradesh,Kakinada,8,16,76,-
Andhra Pradesh,Kurnool,7,17,60,30
Andhra Pradesh,Rajahmundry/Rajamahendravaram,10,16,78,38
Andhra Pradesh,Srikakulam,9,20,72,-
Andhra Pradesh,Tirupati,5,30,61,32
Andhra Pradesh,Vijayawada,6,19,71,38
Andhra Pradesh,Visakhapatnam,11,34,129,50
Andhra Pradesh,Vizianagaram,9,20,74,28
Arunachal Pradesh,Naharlagun,-,-,45,24
Assam,Bongaigaon,5,12,51,24
Assam,Brynihat,33,28,289,146
Assam,Guwahati,13,10,120,57
Assam,Nagaon,11,15,113,51
Assam,Nalbari,6,17,132,61
Assam,Silcher,6,11,33,17
Assam,Sivasagar,4,12,40,18
Assam,Tinsukia,6,12,52,24
Bihar,Araria,15,26,167,73
Bihar,Arrah,10,36,168,84
Bihar,Aurangabad,12,8,139,61
Bihar,Begusarai,18,39,264,147
Bihar,Bettiah,9,24,187,85
Bihar,Bhagalpur,17,33,167,82
Bihar,Bihar Sharif,10,7,121,42
Bihar,Chhapra,17,20,210,82
Bihar,Gaya,12,21,119,59
Bihar,Hajipur,6,28,173,57
Bihar,Katihar,14,50,193,89
Bihar,Kishanganj,12,35,148,57
Bihar,Manguraha,5,31,91,47
Bihar,Motihari,7,49,142,47
Bihar,Munger,20,28,193,73
Bihar,Muzaffarpur,13,21,179,83
Bihar,Patna,8,32,183,90
Bihar,Purnia,9,28,154,89
Bihar,Rajgir,5,18,141,73
Bihar,Saharsa,16,7,183,89
Bihar,Samastipur,14,18,184,82
Bihar,Sasaram,18,26,99,57
Bihar,Siwan,13,47,176,88
Chandigarh (UT),Chandigarh,6,25,113,58
Chattisgarh,Bilaspur,10,10,71,31
Chattisgarh,Chhal,15,16,64,28
Chattisgarh,Durg Bhillainagar,11,14,66,31
Chattisgarh,Korba,8,26,65,31
Chattisgarh,Kunjemura,9,32,96,19
Chattisgarh,Milupara,9,19,50,22
