date,city,temp,rain,humidity,wind,pm25,event,population,heat_stress_cases,flood_injuries,resp_issues,vector_diseases,waterborne_diseases,mental_health_cases,emergency_calls,beds_needed,staff_needed,icu_needed,ventilators_needed,ambulances_needed,economic_cost,energy_usage,water_usage,waste_generated,high_heat_risk,high_flood_risk,high_resp_risk,high_vector_risk,high_waterborne_risk,health_tips,sustainability_tips
2023-01-01,Delhi,21.4,0.0,37.9,7.8,137.0,None,16.8,0.0,0.0,7.0,3.8,0.0,0.0,2.4,10,6,2,1,1,79697,150,3000,20,0,0,1,0,0,Wear masks outdoors and use air purifiers indoors,Reduce generator use and switch to clean energy sources
2023-01-01,Mumbai,20.9,141.5,55.1,7.9,91.6,None,12.5,0.0,5.5,1.9,4.3,9.3,16.2,4.2,10,6,2,1,1,167777,150,3000,20,0,1,0,0,1,Avoid flooded areas and boil drinking water,Harvest rainwater for non-drinking purposes
2023-01-01,Kolkata,20.9,99.5,61.4,6.4,118.9,None,4.5,0.0,1.2,1.3,1.4,1.5,0.0,2.2,10,6,2,1,1,37283,150,3000,20,0,0,1,0,1,Wear masks outdoors and use air purifiers indoors,Harvest rainwater for non-drinking purposes|Reduce generator use and switch to clean energy sources
2023-01-01,Chennai,23.9,67.5,63.9,4.0,86.4,None,4.6,0.0,0.4,0.5,1.8,1.4,0.0,1.3,10,6,2,1,1,29502,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-01,Bangalore,19.5,21.1,59.1,7.3,62.7,None,8.4,0.0,0.0,1.2,3.0,0.0,0.0,1.1,10,6,2,1,1,36666,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-01,Hyderabad,20.7,16.0,54.6,5.4,93.9,None,6.8,0.0,0.0,1.0,2.4,0.0,0.0,1.3,10,6,2,1,1,29590,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-01,Ahmedabad,23.9,3.3,46.8,9.8,93.1,None,5.6,0.0,0.0,1.1,1.9,0.0,0.0,0.7,10,6,2,1,1,25394,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-01,Pune,18.4,9.5,51.8,2.9,80.3,None,3.1,0.0,0.0,0.5,0.7,0.0,0.0,0.2,10,6,2,1,1,10342,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-01,Jaipur,21.8,0.0,34.1,9.3,101.1,None,3.0,0.0,0.0,0.7,0.9,0.0,0.0,0.5,10,6,2,1,1,12691,150,3000,20,0,0,1,0,0,Wear masks outdoors and use air purifiers indoors,Reduce generator use and switch to clean energy sources
2023-01-01,Lucknow,19.8,12.5,41.1,7.7,116.4,None,2.8,0.0,0.0,0.2,0.8,0.0,0.0,0.3,10,6,2,1,1,8906,150,3000,20,0,0,1,0,0,Wear masks outdoors and use air purifiers indoors,Reduce generator use and switch to clean energy sources
2023-01-02,Delhi,19.9,0.0,43.2,5.1,134.5,None,16.8,0.0,0.0,3.8,5.4,0.0,0.0,3.6,10,6,2,1,1,76531,150,3000,20,0,0,1,0,0,Wear masks outdoors and use air purifiers indoors,Reduce generator use and switch to clean energy sources
2023-01-02,Mumbai,23.1,152.7,58.9,8.2,88.9,None,12.5,0.0,6.2,2.4,8.5,6.1,17.1,9.3,10,6,2,1,1,208434,150,3000,20,0,1,0,0,1,Avoid flooded areas and boil drinking water,Harvest rainwater for non-drinking purposes
2023-01-02,Kolkata,21.9,100.0,62.2,5.8,112.5,None,4.5,0.0,1.1,0.9,2.2,1.9,6.9,1.8,10,6,2,1,1,56941,150,3000,20,0,1,1,0,1,Wear masks outdoors and use air purifiers indoors,Harvest rainwater for non-drinking purposes|Reduce generator use and switch to clean energy sources
2023-01-02,Chennai,24.2,61.7,64.9,6.3,72.7,None,4.6,0.0,0.3,0.8,2.0,0.6,0.0,1.1,10,6,2,1,1,29834,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-02,Bangalore,20.3,27.1,56.4,3.7,72.9,None,8.4,0.0,0.0,1.5,2.7,0.0,0.0,1.5,10,6,2,1,1,35666,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-02,Hyderabad,21.0,12.1,48.0,7.5,87.9,None,6.8,0.0,0.0,0.8,1.6,0.0,0.0,0.7,10,6,2,1,1,20471,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-02,Ahmedabad,21.0,0.0,44.7,6.1,96.9,None,5.6,0.0,0.0,1.3,1.6,0.0,0.0,0.8,10,6,2,1,1,24330,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-02,Pune,20.6,0.7,48.9,6.9,76.2,None,3.1,0.0,0.0,0.3,0.8,0.0,0.0,0.3,10,6,2,1,1,9638,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-02,Jaipur,23.3,0.0,34.9,9.8,117.1,None,3.0,0.0,0.0,0.8,0.9,0.0,0.0,0.5,10,6,2,1,1,13884,150,3000,20,0,0,1,0,0,Wear masks outdoors and use air purifiers indoors,Reduce generator use and switch to clean energy sources
2023-01-02,Lucknow,21.1,9.3,50.0,6.9,119.3,None,2.8,0.0,0.0,0.7,0.8,0.0,0.0,0.2,10,6,2,1,1,12065,150,3000,20,0,0,1,0,0,Wear masks outdoors and use air purifiers indoors,Reduce generator use and switch to clean energy sources
2023-01-03,Delhi,18.3,0.0,36.0,2.1,127.2,None,16.8,0.0,0.0,4.5,4.5,0.0,0.0,3.0,10,6,2,1,1,71721,150,3000,20,0,0,1,0,0,Wear masks outdoors and use air purifiers indoors,Reduce generator use and switch to clean energy sources
2023-01-03,Mumbai,20.9,140.4,63.7,6.4,86.4,None,12.5,0.0,6.1,2.0,6.3,7.3,19.3,7.3,10,6,2,1,1,191552,150,3000,20,0,1,0,0,1,Avoid flooded areas and boil drinking water,Harvest rainwater for non-drinking purposes
2023-01-03,Kolkata,20.9,97.7,66.4,6.7,108.3,None,4.5,0.0,0.7,0.7,2.3,1.1,0.0,1.3,10,6,2,1,1,36557,150,3000,20,0,0,1,0,1,Wear masks outdoors and use air purifiers indoors,Harvest rainwater for non-drinking purposes|Reduce generator use and switch to clean energy sources
2023-01-03,Chennai,24.8,78.1,62.2,4.2,73.6,None,4.6,0.0,0.8,0.9,2.3,0.8,0.0,1.6,10,6,2,1,1,37839,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-03,Bangalore,19.1,25.8,52.7,2.3,63.6,None,8.4,0.0,0.0,0.9,3.1,0.0,0.0,1.3,10,6,2,1,1,36370,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-03,Hyderabad,21.6,23.2,46.2,4.9,75.9,None,6.8,0.0,0.0,0.7,1.7,0.0,0.0,0.7,10,6,2,1,1,21622,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-03,Ahmedabad,22.0,0.0,44.5,4.4,107.9,None,5.6,0.0,0.0,1.6,1.2,0.0,0.0,0.8,10,6,2,1,1,21660,150,3000,20,0,0,1,0,0,Wear masks outdoors and use air purifiers indoors,Reduce generator use and switch to clean energy sources
2023-01-03,Pune,19.5,19.1,45.7,7.0,87.7,None,3.1,0.0,0.0,0.8,0.9,0.0,0.0,0.6,10,6,2,1,1,13508,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-03,Jaipur,22.4,0.0,32.8,9.6,116.7,None,3.0,0.0,0.0,0.6,0.8,0.0,0.0,0.3,10,6,2,1,1,11368,150,3000,20,0,0,1,0,0,Wear masks outdoors and use air purifiers indoors,Reduce generator use and switch to clean energy sources
2023-01-03,Lucknow,19.5,15.1,43.2,6.3,118.0,None,2.8,0.0,0.0,0.7,0.4,0.0,0.0,0.4,10,6,2,1,1,8418,150,3000,20,0,0,1,0,0,Wear masks outdoors and use air purifiers indoors,Reduce generator use and switch to clean energy sources
2023-01-04,Delhi,21.0,0.0,35.1,6.6,130.7,None,16.8,0.0,0.0,3.3,3.3,0.0,0.0,2.3,10,6,2,1,1,53056,150,3000,20,0,0,1,0,0,Wear masks outdoors and use air purifiers indoors,Reduce generator use and switch to clean energy sources
2023-01-04,Mumbai,20.5,156.1,58.7,10.7,89.5,None,12.5,0.0,6.0,2.3,6.5,7.0,16.8,7.0,10,6,2,1,1,188916,150,3000,20,0,1,0,0,1,Avoid flooded areas and boil drinking water,Harvest rainwater for non-drinking purposes
2023-01-04,Kolkata,20.1,100.5,60.9,8.1,113.1,None,4.5,0.0,1.3,1.3,2.1,2.0,3.5,2.1,10,6,2,1,1,53812,150,3000,20,0,1,1,0,1,Avoid flooded areas and boil drinking water|Wear masks outdoors and use air purifiers indoors,Harvest rainwater for non-drinking purposes|Reduce generator use and switch to clean energy sources
2023-01-04,Chennai,23.1,62.0,64.6,4.9,79.2,None,4.6,0.0,0.3,0.7,2.1,1.3,0.0,0.9,10,6,2,1,1,32410,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-04,Bangalore,20.6,28.4,56.9,5.0,79.6,None,8.4,0.0,0.0,1.7,3.0,0.0,0.0,1.1,10,6,2,1,1,40683,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-04,Hyderabad,22.8,21.7,49.6,3.4,92.1,None,6.8,0.0,0.0,1.5,2.0,0.0,0.0,1.2,10,6,2,1,1,28890,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
2023-01-04,Ahmedabad,24.4,0.0,40.0,8.1,90.1,None,5.6,0.0,0.0,1.2,1.8,0.0,0.0,0.7,10,6,2,1,1,25107,150,3000,20,0,0,0,0,0,No special precautions needed,Standard practices apply
